From	Entry	Entry Name	Protein names	Gene Names	Organism	Length
PLBL2_MOUSE	Q3TCN2	PLBL2_MOUSE	Putative phospholipase B-like 2 (EC 3.1.1.-) (66.3 kDa protein) (76 kDa protein) (p76) (LAMA-like protein 2) (Lamina ancestor homolog 2) (Phospholipase B domain-containing protein 2) [Cleaved into: Putative phospholipase B-like 2 28 kDa form; Putative phospholipase B-like 2 40 kDa form; Putative phospholipase B-like 2 15 kDa form]	Plbd2	Mus musculus (Mouse)	594
PLRG1_MOUSE	Q922V4	PLRG1_MOUSE	Pleiotropic regulator 1	Plrg1	Mus musculus (Mouse)	513
PLSI_MOUSE	Q3V0K9	PLSI_MOUSE	Plastin-1	Pls1	Mus musculus (Mouse)	630
PML_MOUSE	Q60953	PML_MOUSE	Protein PML	Pml	Mus musculus (Mouse)	885
PNPH_MOUSE	P23492	PNPH_MOUSE	Purine nucleoside phosphorylase (PNP) (EC 2.4.2.1) (Inosine phosphorylase) (Inosine-guanosine phosphorylase)	Pnp Np Pnp1	Mus musculus (Mouse)	289
PP1R7_MOUSE	Q3UM45	PP1R7_MOUSE	Protein phosphatase 1 regulatory subunit 7 (Protein phosphatase 1 regulatory subunit 22)	Ppp1r7 Sds22	Mus musculus (Mouse)	361
PPBT_MOUSE	P09242	PPBT_MOUSE	Alkaline phosphatase, tissue-nonspecific isozyme (AP-TNAP) (TNAP) (TNSALP) (EC 3.1.3.1) (Alkaline phosphatase 2) (Alkaline phosphatase liver/bone/kidney isozyme) (Phosphoamidase) (Phosphocreatine phosphatase) (EC 3.9.1.1)	Alpl Akp-2 Akp2	Mus musculus (Mouse)	524
PPIC_MOUSE	P30412	PPIC_MOUSE	Peptidyl-prolyl cis-trans isomerase C (PPIase C) (EC 5.2.1.8) (Cyclophilin C) (Rotamase C)	Ppic Cypc	Mus musculus (Mouse)	212
PRAF3_MOUSE	Q8R5J9	PRAF3_MOUSE	PRA1 family protein 3 (ADP-ribosylation factor-like protein 6-interacting protein 5) (ARL-6-interacting protein 5) (Aip-5) (Addicsin) (GTRAP3-18) (Glutamate transporter EAAC1-interacting protein) (Prenylated Rab acceptor protein 2) (Protein JWa)	Arl6ip5 Aip5 Jwa Pra2 Praf3	Mus musculus (Mouse)	188
PRPS1_MOUSE	Q9D7G0	PRPS1_MOUSE	Ribose-phosphate pyrophosphokinase 1 (EC 2.7.6.1) (Phosphoribosyl pyrophosphate synthase I) (PRS-I)	Prps1	Mus musculus (Mouse)	318
PSB10_MOUSE	O35955	PSB10_MOUSE	Proteasome subunit beta type-10 (EC 3.4.25.1) (Low molecular mass protein 10) (Macropain subunit MECl-1) (Multicatalytic endopeptidase complex subunit MECl-1) (Proteasome MECl-1) (Proteasome subunit beta-2i)	Psmb10 Lmp10 Mecl1	Mus musculus (Mouse)	273
PSB4_MOUSE	P99026	PSB4_MOUSE	Proteasome subunit beta type-4 (Low molecular mass protein 3) (Macropain beta chain) (Multicatalytic endopeptidase complex beta chain) (Proteasome beta chain) (Proteasome chain 3)	Psmb4 Lmp3	Mus musculus (Mouse)	264
PSB8_MOUSE	P28063	PSB8_MOUSE	Proteasome subunit beta type-8 (EC 3.4.25.1) (Low molecular mass protein 7) (Macropain subunit C13) (Multicatalytic endopeptidase complex subunit C13) (Proteasome component C13) (Proteasome subunit beta-5i)	Psmb8 Lmp7 Mc13	Mus musculus (Mouse)	276
PSMD4_MOUSE	O35226	PSMD4_MOUSE	26S proteasome non-ATPase regulatory subunit 4 (26S proteasome regulatory subunit RPN10) (26S proteasome regulatory subunit S5A) (Multiubiquitin chain-binding protein)	Psmd4 Mcb1	Mus musculus (Mouse)	376
PSMD8_MOUSE	Q9CX56	PSMD8_MOUSE	26S proteasome non-ATPase regulatory subunit 8 (26S proteasome regulatory subunit RPN12) (26S proteasome regulatory subunit S14)	Psmd8	Mus musculus (Mouse)	353
PSME3_MOUSE	P61290	PSME3_MOUSE	Proteasome activator complex subunit 3 (11S regulator complex subunit gamma) (REG-gamma) (Activator of multicatalytic protease subunit 3) (Ki nuclear autoantigen) (Proteasome activator 28 subunit gamma) (PA28g) (PA28gamma)	Psme3	Mus musculus (Mouse)	254
PTBP3_MOUSE	Q8BHD7	PTBP3_MOUSE	Polypyrimidine tract-binding protein 3 (Regulator of differentiation 1) (Rod1)	Ptbp3 Rod1	Mus musculus (Mouse)	523
PUR8_MOUSE	P54822	PUR8_MOUSE	Adenylosuccinate lyase (ASL) (EC 4.3.2.2) (Adenylosuccinase) (ASase)	Adsl Adl	Mus musculus (Mouse)	484
QCR6_MOUSE	P99028	QCR6_MOUSE	Cytochrome b-c1 complex subunit 6, mitochondrial (Complex III subunit 6) (Complex III subunit VIII) (Cytochrome c1 non-heme 11 kDa protein) (Mitochondrial hinge protein) (Ubiquinol-cytochrome c reductase complex 11 kDa protein)	Uqcrh	Mus musculus (Mouse)	89
QCR8_MOUSE	Q9CQ69	QCR8_MOUSE	Cytochrome b-c1 complex subunit 8 (Complex III subunit 8) (Complex III subunit VIII) (Ubiquinol-cytochrome c reductase complex 9.5 kDa protein) (Ubiquinol-cytochrome c reductase complex ubiquinone-binding protein QP-C)	Uqcrq	Mus musculus (Mouse)	82
RAB5A_MOUSE	Q9CQD1	RAB5A_MOUSE	Ras-related protein Rab-5A (EC 3.6.5.2)	Rab5a nnyRab5a	Mus musculus (Mouse)	215
RBBP7_MOUSE	Q60973	RBBP7_MOUSE	Histone-binding protein RBBP7 (Histone acetyltransferase type B subunit 2) (Nucleosome-remodeling factor subunit RBAP46) (Retinoblastoma-binding protein 7) (RBBP-7) (Retinoblastoma-binding protein p46)	Rbbp7 Rbap46	Mus musculus (Mouse)	425
RBM25_MOUSE	B2RY56	RBM25_MOUSE	RNA-binding protein 25 (RNA-binding motif protein 25)	Rbm25	Mus musculus (Mouse)	838
RCC1_MOUSE	Q8VE37	RCC1_MOUSE	Regulator of chromosome condensation (Chromosome condensation protein 1)	Rcc1 Chc1	Mus musculus (Mouse)	421
RL19_MOUSE	P84099	RL19_MOUSE	Large ribosomal subunit protein eL19 (60S ribosomal protein L19)	Rpl19	Mus musculus (Mouse)	196
RL35_MOUSE	Q6ZWV7	RL35_MOUSE	Large ribosomal subunit protein uL29 (60S ribosomal protein L35)	Rpl35	Mus musculus (Mouse)	123
RL38_MOUSE	Q9JJI8	RL38_MOUSE	Large ribosomal subunit protein eL38 (60S ribosomal protein L38)	Rpl38	Mus musculus (Mouse)	70
RRS1_MOUSE	Q9CYH6	RRS1_MOUSE	Ribosome biogenesis regulatory protein homolog	Rrs1 Rrr MNCb-2643	Mus musculus (Mouse)	365
RS20_MOUSE	P60867	RS20_MOUSE	Small ribosomal subunit protein uS10 (40S ribosomal protein S20)	Rps20	Mus musculus (Mouse)	119
RSMB_MOUSE	P27048	RSMB_MOUSE	Small nuclear ribonucleoprotein-associated protein B (snRNP-B) (snRPB) (Sm protein B) (Sm-B) (SmB)	Snrpb	Mus musculus (Mouse)	231
RTN3_MOUSE	Q9ES97	RTN3_MOUSE	Reticulon-3	Rtn3	Mus musculus (Mouse)	964
S10AA_MOUSE	P08207	S10AA_MOUSE	Protein S100-A10 (Calpactin I light chain) (Calpactin-1 light chain) (Cellular ligand of annexin II) (S100 calcium-binding protein A10) (p10 protein) (p11)	S100a10 Cal1l	Mus musculus (Mouse)	97
SAC1_MOUSE	Q9EP69	SAC1_MOUSE	Phosphatidylinositol-3-phosphatase SAC1 (EC 3.1.3.64) (Phosphatidylinositol-4-phosphate phosphatase) (Suppressor of actin mutations 1-like protein)	Sacm1l Kiaa0851 Sac1	Mus musculus (Mouse)	587
SC61B_MOUSE	Q9CQS8	SC61B_MOUSE	Protein transport protein Sec61 subunit beta	Sec61b	Mus musculus (Mouse)	96
SEC13_MOUSE	Q9D1M0	SEC13_MOUSE	Protein SEC13 homolog (GATOR2 complex protein SEC13) (SEC13-like protein 1) (SEC13-related protein)	Sec13 Sec13l1	Mus musculus (Mouse)	322
SEC62_MOUSE	Q8BU14	SEC62_MOUSE	Translocation protein SEC62 (Translocation protein 1) (TP-1)	Sec62 Tloc1	Mus musculus (Mouse)	398
SERB_MOUSE	Q99LS3	SERB_MOUSE	Phosphoserine phosphatase (PSP) (PSPase) (EC 3.1.3.3) (O-phosphoserine phosphohydrolase)	Psph	Mus musculus (Mouse)	225
SF3B5_MOUSE	Q923D4	SF3B5_MOUSE	Splicing factor 3B subunit 5 (SF3b5) (Pre-mRNA-splicing factor SF3b 10 kDa subunit)	Sf3b5 Sf3b10	Mus musculus (Mouse)	86
SGT1_MOUSE	Q9CX34	SGT1_MOUSE	Protein SGT1 homolog (Suppressor of G2 allele of SKP1 homolog)	Sugt1	Mus musculus (Mouse)	336
SMC2_MOUSE	Q8CG48	SMC2_MOUSE	Structural maintenance of chromosomes protein 2 (SMC protein 2) (SMC-2) (Chromosome-associated protein E) (FGF-inducible protein 16) (XCAP-E homolog)	Smc2 Cape Fin16 Smc2l1	Mus musculus (Mouse)	1191
SMD1_MOUSE	P62315	SMD1_MOUSE	Small nuclear ribonucleoprotein Sm D1 (Sm-D1) (Sm-D autoantigen) (snRNP core protein D1)	Snrpd1	Mus musculus (Mouse)	119
SMD2_MOUSE	P62317	SMD2_MOUSE	Small nuclear ribonucleoprotein Sm D2 (Sm-D2) (snRNP core protein D2)	Snrpd2	Mus musculus (Mouse)	118
SNX1_MOUSE	Q9WV80	SNX1_MOUSE	Sorting nexin-1	Snx1	Mus musculus (Mouse)	522
SON_MOUSE	Q9QX47	SON_MOUSE	Protein SON (Negative regulatory element-binding protein) (NRE-binding protein)	Son Nrebp	Mus musculus (Mouse)	2444
SPCS2_MOUSE	Q9CYN2	SPCS2_MOUSE	Signal peptidase complex subunit 2 (Microsomal signal peptidase 25 kDa subunit) (SPase 25 kDa subunit)	Spcs2 Spc25	Mus musculus (Mouse)	226
SPEE_MOUSE	Q64674	SPEE_MOUSE	Spermidine synthase (SPDSY) (EC 2.5.1.16) (Putrescine aminopropyltransferase)	Srm	Mus musculus (Mouse)	302
SRSF4_MOUSE	Q8VE97	SRSF4_MOUSE	Serine/arginine-rich splicing factor 4 (Splicing factor, arginine/serine-rich 4)	Srsf4 Sfrs4 MNCb-2616	Mus musculus (Mouse)	489
SRSF5_MOUSE	O35326	SRSF5_MOUSE	Serine/arginine-rich splicing factor 5 (Delayed-early protein HRS) (Pre-mRNA-splicing factor SRP40) (Splicing factor, arginine/serine-rich 5)	Srsf5 Hrs Sfrs5	Mus musculus (Mouse)	269
STX12_MOUSE	Q9ER00	STX12_MOUSE	Syntaxin-12	Stx12	Mus musculus (Mouse)	274
SUMO2_MOUSE	P61957	SUMO2_MOUSE	Small ubiquitin-related modifier 2 (SUMO-2) (SMT3 homolog 2) (Ubiquitin-like protein SMT3B) (Smt3B)	Sumo2 Smt3b Smt3h2	Mus musculus (Mouse)	95
T106B_MOUSE	Q80X71	T106B_MOUSE	Transmembrane protein 106B	Tmem106b	Mus musculus (Mouse)	275
TBA1B_MOUSE	P05213	TBA1B_MOUSE	Tubulin alpha-1B chain (EC 3.6.5.-) (Alpha-tubulin 2) (Alpha-tubulin isotype M-alpha-2) (Tubulin alpha-2 chain) [Cleaved into: Detyrosinated tubulin alpha-1B chain]	Tuba1b Tuba2	Mus musculus (Mouse)	451
TBCA_MOUSE	P48428	TBCA_MOUSE	Tubulin-specific chaperone A (TCP1-chaperonin cofactor A) (Tubulin-folding cofactor A) (CFA)	Tbca	Mus musculus (Mouse)	108
TCEA1_MOUSE	P10711	TCEA1_MOUSE	Transcription elongation factor A protein 1 (Transcription elongation factor S-II protein 1) (Transcription elongation factor TFIIS.o)	Tcea1 Tceat	Mus musculus (Mouse)	301
TCTP_MOUSE	P63028	TCTP_MOUSE	Translationally-controlled tumor protein (TCTP) (21 kDa polypeptide) (p21) (p23)	Tpt1 Trt	Mus musculus (Mouse)	172
TES_MOUSE	P47226	TES_MOUSE	Testin (TES1/TES2)	Tes	Mus musculus (Mouse)	423
THOP1_MOUSE	Q8C1A5	THOP1_MOUSE	Thimet oligopeptidase (EC 3.4.24.15)	Thop1	Mus musculus (Mouse)	687
THTM_MOUSE	Q99J99	THTM_MOUSE	3-mercaptopyruvate sulfurtransferase (MST) (EC 2.8.1.2)	Mpst	Mus musculus (Mouse)	297
TIM8B_MOUSE	P62077	TIM8B_MOUSE	Mitochondrial import inner membrane translocase subunit Tim8 B (Deafness dystonia protein 2 homolog)	Timm8b Ddp2 Tim8b	Mus musculus (Mouse)	83
TIM9_MOUSE	Q9WV98	TIM9_MOUSE	Mitochondrial import inner membrane translocase subunit Tim9	Timm9 Tim9 Tim9a Timm9a	Mus musculus (Mouse)	89
TM9S2_MOUSE	P58021	TM9S2_MOUSE	Transmembrane 9 superfamily member 2	Tm9sf2	Mus musculus (Mouse)	662
TM9S4_MOUSE	Q8BH24	TM9S4_MOUSE	Transmembrane 9 superfamily member 4	Tm9sf4 Kiaa0255	Mus musculus (Mouse)	643
TMCO1_MOUSE	Q921L3	TMCO1_MOUSE	Calcium load-activated calcium channel (CLAC channel) (GEL complex subunit TMCO1) (Transmembrane and coiled-coil domain-containing protein 1)	Tmco1	Mus musculus (Mouse)	188
TMED2_MOUSE	Q9R0Q3	TMED2_MOUSE	Transmembrane emp24 domain-containing protein 2 (COPI-coated vesicle membrane protein p24) (Membrane protein p24A) (Sid 394) (p24 family protein beta-1) (p24beta1)	Tmed2 Rnp24 Sid394	Mus musculus (Mouse)	201
TMX3_MOUSE	Q8BXZ1	TMX3_MOUSE	Protein disulfide-isomerase TMX3 (EC 5.3.4.1) (Thioredoxin domain-containing protein 10) (Thioredoxin-related transmembrane protein 3)	Tmx3 Kiaa1830 Txndc10	Mus musculus (Mouse)	456
TPM2_MOUSE	P58774	TPM2_MOUSE	Tropomyosin beta chain (Beta-tropomyosin) (Tropomyosin-2)	Tpm2 Tpm-2	Mus musculus (Mouse)	284
TPP1_MOUSE	O89023	TPP1_MOUSE	Tripeptidyl-peptidase 1 (TPP-1) (EC 3.4.14.9) (Lysosomal pepstatin-insensitive protease) (LPIC) (Tripeptidyl aminopeptidase) (Tripeptidyl-peptidase I) (TPP-I)	Tpp1 Cln2	Mus musculus (Mouse)	562
TRA2A_MOUSE	Q6PFR5	TRA2A_MOUSE	Transformer-2 protein homolog alpha (TRA-2 alpha) (TRA2-alpha) (Transformer-2 protein homolog A)	Tra2a	Mus musculus (Mouse)	281
TSN_MOUSE	Q62348	TSN_MOUSE	Translin (EC 3.1.-.-) (Component 3 of promoter of RISC) (C3PO) (Testis/brain RNA-binding protein) (TB-RBP)	Tsn	Mus musculus (Mouse)	228
TWF1_MOUSE	Q91YR1	TWF1_MOUSE	Twinfilin-1 (Protein A6)	Twf1 Ptk9	Mus musculus (Mouse)	350
UBF1_MOUSE	P25976	UBF1_MOUSE	Nucleolar transcription factor 1 (Upstream-binding factor 1) (UBF-1)	Ubtf Tcfubf Ubf-1 Ubf1	Mus musculus (Mouse)	765
UD11_MOUSE	Q63886	UD11_MOUSE	UDP-glucuronosyltransferase 1A1 (UGT1A1) (EC 2.4.1.17) (UDP-glucuronosyltransferase 1-1) (UDPGT 1-1) (UGT1*1) (UGT1-01) (UGT1.1) (UGTBR1)	Ugt1a1 Ugt1	Mus musculus (Mouse)	535
UGDH_MOUSE	O70475	UGDH_MOUSE	UDP-glucose 6-dehydrogenase (UDP-Glc dehydrogenase) (UDP-GlcDH) (UDPGDH) (EC 1.1.1.22)	Ugdh	Mus musculus (Mouse)	493
VAPB_MOUSE	Q9QY76	VAPB_MOUSE	Vesicle-associated membrane protein-associated protein B (VAMP-B) (VAMP-associated protein B) (VAP-B) (VAMP-associated protein 33b)	Vapb	Mus musculus (Mouse)	243
VATE1_MOUSE	P50518	VATE1_MOUSE	V-type proton ATPase subunit E 1 (V-ATPase subunit E 1) (V-ATPase 31 kDa subunit) (p31) (Vacuolar proton pump subunit E 1)	Atp6v1e1 Atp6e Atp6e2	Mus musculus (Mouse)	226
VATF_MOUSE	Q9D1K2	VATF_MOUSE	V-type proton ATPase subunit F (V-ATPase subunit F) (V-ATPase 14 kDa subunit) (Vacuolar proton pump subunit F)	Atp6v1f Atp6s14 Vatf	Mus musculus (Mouse)	119
VATH_MOUSE	Q8BVE3	VATH_MOUSE	V-type proton ATPase subunit H (V-ATPase subunit H) (Vacuolar proton pump subunit H)	Atp6v1h	Mus musculus (Mouse)	483
VNN1_MOUSE	Q9Z0K8	VNN1_MOUSE	Pantetheinase (EC 3.5.1.92) (Pantetheine hydrolase) (Vascular non-inflammatory molecule 1) (Vanin-1)	Vnn1	Mus musculus (Mouse)	512
WASF2_MOUSE	Q8BH43	WASF2_MOUSE	Actin-binding protein WASF2 (Protein WAVE-2) (Wiskott-Aldrich syndrome protein family member 2) (WASP family protein member 2)	Wasf2 Wave2	Mus musculus (Mouse)	497
WDR12_MOUSE	Q9JJA4	WDR12_MOUSE	Ribosome biogenesis protein WDR12 (WD repeat-containing protein 12)	Wdr12 MNCb-5414	Mus musculus (Mouse)	423
YIPF5_MOUSE	Q9EQQ2	YIPF5_MOUSE	Protein YIPF5 (YIP1 family member 5) (YPT-interacting protein 1 A)	Yipf5 Yip1a	Mus musculus (Mouse)	257
ZN326_MOUSE	O88291	ZN326_MOUSE	DBIRD complex subunit ZNF326 (Zinc finger protein 326) (Zinc finger protein interacting with mRNPs) (Zinc finger protein-associated with nuclear matrix of 75 kDa)	Znf326 Zan75 Zfp326 Zird	Mus musculus (Mouse)	580
A16A1_MOUSE	Q571I9	A16A1_MOUSE	Aldehyde dehydrogenase family 16 member A1	Aldh16a1	Mus musculus (Mouse)	802
A2MG_MOUSE	Q6GQT1	A2MG_MOUSE	Alpha-2-macroglobulin-P (Alpha-2-macroglobulin)	A2m A2mp	Mus musculus (Mouse)	1474
AAKG1_MOUSE	O54950	AAKG1_MOUSE	5'-AMP-activated protein kinase subunit gamma-1 (AMPK gamma1) (AMPK subunit gamma-1) (AMPKg)	Prkag1 Prkaac	Mus musculus (Mouse)	330
ABCF1_MOUSE	Q6P542	ABCF1_MOUSE	ATP-binding cassette sub-family F member 1	Abcf1	Mus musculus (Mouse)	837
ABRAL_MOUSE	Q4KML4	ABRAL_MOUSE	Costars family protein ABRACL (ABRA C-terminal-like protein)	Abracl	Mus musculus (Mouse)	81
ACAD9_MOUSE	Q8JZN5	ACAD9_MOUSE	Complex I assembly factor ACAD9, mitochondrial (Acyl-CoA dehydrogenase family member 9) (ACAD-9) (EC 1.3.8.-)	Acad9	Mus musculus (Mouse)	625
ACBP_MOUSE	P31786	ACBP_MOUSE	Acyl-CoA-binding protein (ACBP) (Diazepam-binding inhibitor) (DBI) (Endozepine) (EP)	Dbi	Mus musculus (Mouse)	87
ACDSB_MOUSE	Q9DBL1	ACDSB_MOUSE	Short/branched chain specific acyl-CoA dehydrogenase, mitochondrial (SBCAD) (EC 1.3.8.5) (2-methyl branched chain acyl-CoA dehydrogenase) (2-MEBCAD) (2-methylbutyryl-coenzyme A dehydrogenase) (2-methylbutyryl-CoA dehydrogenase)	Acadsb	Mus musculus (Mouse)	432
ACL6A_MOUSE	Q9Z2N8	ACL6A_MOUSE	Actin-like protein 6A (53 kDa BRG1-associated factor A) (Actin-related protein Baf53a) (BRG1-associated factor 53A) (BAF53A)	Actl6a Actl6 Baf53a	Mus musculus (Mouse)	429
ACO10_MOUSE	Q32MW3	ACO10_MOUSE	Acyl-coenzyme A thioesterase 10, mitochondrial (Acyl-CoA thioesterase 10) (EC 3.1.2.-) (Mitochondrial 48 kDa acyl-CoA thioester hydrolase 2) (Mt-ACT48.2)	Acot10	Mus musculus (Mouse)	439
ACOT2_MOUSE	Q9QYR9	ACOT2_MOUSE	Acyl-coenzyme A thioesterase 2, mitochondrial (Acyl-CoA thioesterase 2) (EC 3.1.2.2) (Acyl coenzyme A thioester hydrolase) (MTE-I) (Very-long-chain acyl-CoA thioesterase)	Acot2 Mte1	Mus musculus (Mouse)	453
ACPM_MOUSE	Q9CR21	ACPM_MOUSE	Acyl carrier protein, mitochondrial (ACP) (CI-SDAP) (NADH-ubiquinone oxidoreductase 9.6 kDa subunit)	Ndufab1	Mus musculus (Mouse)	156
ACSF2_MOUSE	Q8VCW8	ACSF2_MOUSE	Medium-chain acyl-CoA ligase ACSF2, mitochondrial (EC 6.2.1.2)	Acsf2	Mus musculus (Mouse)	615
ADDA_MOUSE	Q9QYC0	ADDA_MOUSE	Alpha-adducin (Erythrocyte adducin subunit alpha)	Add1	Mus musculus (Mouse)	735
ADHX_MOUSE	P28474	ADHX_MOUSE	Alcohol dehydrogenase class-3 (EC 1.1.1.1) (Alcohol dehydrogenase 2) (Alcohol dehydrogenase 5) (Alcohol dehydrogenase B2) (ADH-B2) (Alcohol dehydrogenase class-III) (Glutathione-dependent formaldehyde dehydrogenase) (FALDH) (FDH) (GSH-FDH) (EC 1.1.1.-) (S-(hydroxymethyl)glutathione dehydrogenase) (EC 1.1.1.284)	Adh5 Adh-2 Adh2	Mus musculus (Mouse)	374
ADRM1_MOUSE	Q9JKV1	ADRM1_MOUSE	Proteasomal ubiquitin receptor ADRM1 (110 kDa cell membrane glycoprotein) (Gp110) (Adhesion-regulating molecule 1) (ARM-1) (Rpn13 homolog)	Adrm1 Gp110	Mus musculus (Mouse)	407
AL1B1_MOUSE	Q9CZS1	AL1B1_MOUSE	Aldehyde dehydrogenase X, mitochondrial (EC 1.2.1.3) (Aldehyde dehydrogenase family 1 member B1)	Aldh1b1 Aldhx	Mus musculus (Mouse)	519
AL1L1_MOUSE	Q8R0Y6	AL1L1_MOUSE	Cytosolic 10-formyltetrahydrofolate dehydrogenase (10-FTHFDH) (FDH) (EC 1.5.1.6) (Aldehyde dehydrogenase family 1 member L1)	Aldh1l1 Fthfd	Mus musculus (Mouse)	902
AL3A1_MOUSE	P47739	AL3A1_MOUSE	Aldehyde dehydrogenase, dimeric NADP-preferring (EC 1.2.1.5) (Aldehyde dehydrogenase 4) (Aldehyde dehydrogenase family 3 member A1) (Dioxin-inducible aldehyde dehydrogenase 3)	Aldh3a1 Ahd-4 Ahd4 Aldh3 Aldh4	Mus musculus (Mouse)	453
ALD1_MOUSE	P21300	ALD1_MOUSE	Aldo-keto reductase family 1 member B7 (EC 1.1.1.21) (Aldehyde reductase) (AR) (Aldose reductase-related protein 1) (MVDP) (Vas deferens androgen-dependent protein)	Akr1b7 Avdp	Mus musculus (Mouse)	316
ALD2_MOUSE	P45377	ALD2_MOUSE	Aldose reductase-related protein 2 (AR) (EC 1.1.1.21) (Aldehyde reductase) (Fibroblast growth factor-regulated protein) (Protein FR-1)	Akr1b8 Fgfrp	Mus musculus (Mouse)	316
ALDOC_MOUSE	P05063	ALDOC_MOUSE	Fructose-bisphosphate aldolase C (EC 4.1.2.13) (Aldolase 3) (Brain-type aldolase) (Scrapie-responsive protein 2) (Zebrin II)	Aldoc Aldo3 Scrg2	Mus musculus (Mouse)	363
ANM5_MOUSE	Q8CIG8	ANM5_MOUSE	Protein arginine N-methyltransferase 5 (Prmt5) (EC 2.1.1.320) (Histone-arginine N-methyltransferase PRMT5) (Jak-binding protein 1) (Shk1 kinase-binding protein 1 homolog) (SKB1 homolog)	Prmt5 Jbp1 Skb1	Mus musculus (Mouse)	637
ANO6_MOUSE	Q6P9J9	ANO6_MOUSE	Anoctamin-6 (Small-conductance calcium-activated nonselective cation channel) (SCAN channel) (Transmembrane protein 16F)	Ano6 Tmem16f	Mus musculus (Mouse)	911
AP3D1_MOUSE	O54774	AP3D1_MOUSE	AP-3 complex subunit delta-1 (AP-3 complex subunit delta) (Adaptor-related protein complex 3 subunit delta-1) (Delta-adaptin) (mBLVR1)	Ap3d1 Ap3d	Mus musculus (Mouse)	1199
AR6P1_MOUSE	Q9JKW0	AR6P1_MOUSE	ADP-ribosylation factor-like protein 6-interacting protein 1 (ARL-6-interacting protein 1) (Aip-1) (Protein TBX2)	Arl6ip1 Arl6ip	Mus musculus (Mouse)	203
ARF4_MOUSE	P61750	ARF4_MOUSE	ADP-ribosylation factor 4	Arf4	Mus musculus (Mouse)	180
ARL1_MOUSE	P61211	ARL1_MOUSE	ADP-ribosylation factor-like protein 1	Arl1	Mus musculus (Mouse)	181
ARP3B_MOUSE	Q641P0	ARP3B_MOUSE	Actin-related protein 3B (ARP3-beta) (Actin-like protein 3B)	Actr3b	Mus musculus (Mouse)	418
ARP5L_MOUSE	Q9D898	ARP5L_MOUSE	Actin-related protein 2/3 complex subunit 5-like protein (Arp2/3 complex 16 kDa subunit 2) (ARC16-2)	Arpc5l	Mus musculus (Mouse)	153
AT1B1_MOUSE	P14094	AT1B1_MOUSE	Sodium/potassium-transporting ATPase subunit beta-1 (Sodium/potassium-dependent ATPase subunit beta-1)	Atp1b1 Atp4b	Mus musculus (Mouse)	304
AT2B1_MOUSE	G5E829	AT2B1_MOUSE	Plasma membrane calcium-transporting ATPase 1 (EC 7.2.2.10) (Plasma membrane calcium ATPase isoform 1) (PMCA1) (Plasma membrane calcium pump isoform 1)	Atp2b1	Mus musculus (Mouse)	1220
ATAD3_MOUSE	Q925I1	ATAD3_MOUSE	ATPase family AAA domain-containing protein 3 (AAA-ATPase TOB3)	Atad3 Atad3a Kiaa1273	Mus musculus (Mouse)	591
ATP5E_MOUSE	P56382	ATP5E_MOUSE	ATP synthase subunit epsilon, mitochondrial (ATPase subunit epsilon) (ATP synthase F1 subunit epsilon)	Atp5f1e Atp5e	Mus musculus (Mouse)	52
ATP5I_MOUSE	Q06185	ATP5I_MOUSE	ATP synthase subunit e, mitochondrial (ATPase subunit e) (ATP synthase membrane subunit e)	Atp5me Atp5i Atp5k Lfm-1 Lfm1	Mus musculus (Mouse)	71
ATP8_MOUSE	P03930	ATP8_MOUSE	ATP synthase protein 8 (A6L) (F-ATPase subunit 8)	Mtatp8 Atp8 mt-Atp8	Mus musculus (Mouse)	67
ATX2_MOUSE	O70305	ATX2_MOUSE	Ataxin-2 (Spinocerebellar ataxia type 2 protein homolog)	Atxn2 Atx2 Sca2	Mus musculus (Mouse)	1285
B2L13_MOUSE	P59017	B2L13_MOUSE	Bcl-2-like protein 13 (Bcl2-L-13) (Bcl-rambo) (Protein Mil1)	Bcl2l13 Mil1	Mus musculus (Mouse)	434
BAP31_MOUSE	Q61335	BAP31_MOUSE	B-cell receptor-associated protein 31 (BCR-associated protein 31) (Bap31) (p28)	Bcap31 Bap31	Mus musculus (Mouse)	245
BCAT1_MOUSE	P24288	BCAT1_MOUSE	Branched-chain-amino-acid aminotransferase, cytosolic (BCAT(c)) (EC 2.6.1.42) (Protein ECA39)	Bcat1 Eca39	Mus musculus (Mouse)	386
BCKD_MOUSE	O55028	BCKD_MOUSE	Branched-chain alpha-ketoacid dehydrogenase kinase (BCKDH kinase) (BCKDHKIN) (BDK) (EC 2.7.11.1) ([3-methyl-2-oxobutanoate dehydrogenase [lipoamide]] kinase, mitochondrial) (EC 2.7.11.4)	Bckdk	Mus musculus (Mouse)	412
BIN1_MOUSE	O08539	BIN1_MOUSE	Myc box-dependent-interacting protein 1 (Amphiphysin II) (Amphiphysin-like protein) (Bridging integrator 1) (SH3 domain-containing protein 9)	Bin1 Amphl Sh3p9	Mus musculus (Mouse)	588
BLMH_MOUSE	Q8R016	BLMH_MOUSE	Bleomycin hydrolase (BH) (BLM hydrolase) (BMH) (EC 3.4.22.40)	Blmh	Mus musculus (Mouse)	455
BRI3B_MOUSE	Q8BXV2	BRI3B_MOUSE	BRI3-binding protein (I3-binding protein)	Bri3bp	Mus musculus (Mouse)	253
BST2_MOUSE	Q8R2Q8	BST2_MOUSE	Bone marrow stromal antigen 2 (BST-2) (HM1.24 antigen) (CD antigen CD317)	Bst2	Mus musculus (Mouse)	172
